"Take the path to my left, Chosen One. It leads to the temple proper.
 The cave entrance behind me will return you to the last chamber.","Toma el camino de mi izquierda, Elegida. Lleva al propio templo. La entrada a la cueva que hay detrás de mí te devolverá a la última estancia."
"No thank you, Chosen One. I still carry the bruises from our last encounter and will need
 years to recover!","Gracias pero no, Elegida. Aún tengo contusiones de nuestro último encuentro y necesitaré tiempo para recuperarme."
"Chosen One, my ass. I am going to make you the dead one!",Elegida... y una mierda. ¡Date por muerta!
"You have defeated me. You are worthy, Chosen One.","Me has derrotado. Eres digna, Elegida."
"Hmm... I see your point. I wouldn't want to be responsible for
 killing you when all I meant to do was test your mettle. Very well -- you may
 pass, Chosen One.","Hmm... tiene sentido. No quiero ser el responsable de tu muerte cuando todo lo que tengo que hacer es probar tu valor. Muy bien. Puedes pasar, Elegida."
"I don't seem to remember our last battle, Chosen One. I will always wonder how you managed
 to get past me.","Aún recuerdo nuestro último combate, Elegida. Siempre me he preguntado cómo pudiste derrotarme."
"You have a tongue of purest silver, Chosen One. Your skill with words will open many doors
 for you.","Tienes un pico de oro, Elegida. Tu habilidad con las palabras te abrirá muchas puertas."
"Thanks, but I think I can handle myself just fine.","Gracias, pero creo que puedo cuidarme sola."
"You learn well, Chosen One. I think you will be able to handle yourself in a fight now. However, remember that even the strongest of warriors must sometimes retreat. There is no shame in living to fight another day.","Aprendes rápido, Elegida. Creo que ahora serás capaz de manejarte tú sola en combate, pero recuerda que hasta el más fuerte de los guerreros debe retirarse a veces. No hay deshonor en vivir para luchar otro día."
"Hello! I hear you are the Chosen One. Now, perhaps, our village can be saved.",¡Hola! He oído que eres la Elegida. Quizás puedas salvar al poblado.
"Good joke, Chosen One! You know where it is. That way -- to the south.","¡Qué chiste más bueno, Elegida! Ya sabes donde está. Por allí... hacia el sur."
"Oh gods -- may the spirit of the Founder guide you. If you're the Chosen One, we're
 going to need it.","Oh Dioses... que los espíritus del Fundador te guíen. Si tú eres la Elegida, les vamos a necesitar."
You are evil. The Chosen One is evil!,Eres malvada. ¡La Elegida es malvada!
"Hello, Chosen One. Nice to see you again. I pray that your holy quest is going well. Is there something I can help you with?","Hola, Elegida. Me alegro de verte de nuevo. Rezo para que tu sagrada búsqueda marche bien. ¿Hay algo con lo que pueda ayudarte?"
"Chosen One, our people are dying. You must hurry your search for the holy GECK. What may I do to aid you in this most holy of quests?","Elegida, la gente está muriendo. Debes darte prisa en buscar el sagrado GECK. ¿En que puedo servirte de ayuda en la más sagrada de las búsquedas?"
"Chosen One, our village is almost dead... you're our only hope. Is there anything
 I could tell you that would aide you in our salvation?","Elegida, el poblado está casi muerto... eres nuestra única esperanza. ¿Hay algo que pueda decirte que te ayude a salvarnos?"
"Hello, Chosen One, can I help you in your quest?","Hola, Elegida, ¿puedo ayudarte con tu misión?"
"Ah, dull one. They say you are the Chosen One. I must say the spirit
 of the Founder works in strange ways.","Ah, imbécil. Dicen que eres el Elegida, pero yo digo que los caminos del Fundador son inescrutables."
A traitor to your own people!,¡Una traidora a su propio pueblo!
Death to the evil one!,¡Muerte a la malvada!
"Hello again, Chosen One. May the warrior spirits protect and guide you.","Hola de nuevo, Elegida. Que los espíritus de los guerreros te protejan y te guíen."
"Why do you wait so long? We must have the GECK soon. Chosen One, our village is dying.","¿A qué estás esperando? Debemos conseguir el GECK cuanto antes. Elegida, nuestro poblado se muere."
"Chosen One, our village is almost dead. Why have you not brought the holy GECK to us yet?","Elegida, nuestro poblado está casi muerto. ¿Por qué no nos has traído aún el sagrado GECK?"
"Congratulations, Chosen One, you have survived the Temple of Trials. Are
 you ready for your quest?","Felicidades, Elegida, has sobrevivido al Templo de las Pruebas. ¿Estás preparado para tu misión?"
"I am proud of you, Chosen. You have overcome much. Now. You must go find Vault
 13. Vault 13. Bring the GECK home. GECK. Here is a shiny bottle. Vic gave us this. Vic.
 He is a trader in Klamath. Klamath. Go to Vic. Find Vault 13. Find GECK. Come home. Do
 your best, child.","Estoy orgullosa de ti, Elegida. Has superado muchos obstáculos. Ahora. Debes encontrar el Refugio 13. Refugio 13. Trae el GECK. GECK. Aquí hay una botella brillante. Vic nos la dio. Vic. Es un mercader en Klamath. Klamath. Busca a Vic. Encuentra el Refugio 13. Encuentra el GECK. Vuelve a casa. Haz lo que puedas, pequeña."
"Chosen One, do you wish us all dead? You must find the Vault!","Elegida, ¿quieres que muramos todos? ¡Debes encontrar el Refugio!"
"Chosen One, why are you here?","Elegida, ¿qué haces aquí?"
"You survived. The Chosen One cannot be weak or we are all doomed. Are you
 prepared for your quest?",Has sobrevivido. La Elegida no puede ser débil o todos estaremos condenados. ¿Estás preparado para tu misión?
"It's good to see you again, Child. I don't mean to be abrupt but I see you
 haven't completed your quest to find the holy Thirteen. Please, let's not waste time
 talking. The need of our people is great. Go find the Vault!","Qué bueno volver a verte, hija. No quiero ser abrupta pero veo que no has completado la búsqueda del sagrado Trece. Por favor, no pierdas el tiempo hablando. La necesidad de nuestra gente es grande. ¡Encuentra el Refugio!"
"Chosen One, things are not well here. We need the GECK if our village is to
 survive. Our people grow weak with hunger and our food reserves will not last much
 longer. Please, find the holy Thirteen and return to us. Go now.","Elegida, las cosas no marchan bien. Necesitamos el GECK si nuestro poblado quiere sobrevivir. Nuestra gente se debilita por el hambre y nuestras reservas de comida no durarán mucho más. Por favor encuentra el sagrado Trece y vuelve aquí. Vete ya."
"Child, our need is greater than ever before. Our people sicken, the brahmin
 are dying, and our food is all but gone. The blight of the land can only be cured with
 the GECK. Go, find the GECK and save our people.","Hija, nuestra necesidad es mayor que nunca. Nuestra gente enferma, el ganado muere y nuestra comida se ha acabado. La ruina de esta tierra sólo puede ser curada con el GECK. Ve, encuentra el GECK y salva a nuestro pueblo."
I'm on my way.,Me largo de aquí.
Chosen One! How did you get here?,¡Elegida! ¿Cómo has llegado hasta aquí?
"No, it's me, the Chosen One!","No, soy yo, ¡la Elegida!"
"Oh, shut up, you old bitch! It's me, your Chosen One.","Oh, cállate, ¡vieja zorra! Soy yo, la Elegida."
"Then they brought us here, to hell. They have killed most of us with something they call effeevee. They will kill us all before they are through!
 Do you know what must be done, Chosen One?","Entonces nos trajeron aquí, al infierno. Han matado a la mayoría de los nuestros con algo que llaman uve-e-efe. ¡No pararán hasta matarnos a todos! ¿Sabes lo que hay que hacer, Elegida?"
Go away. You are no better than these devils. I weep you were named the Chosen One.,Vete. No eres mejor que estos demonios. Me arrepiento del día en que fuiste nombrada Elegida.
"Greetings, Chosen. Why does the earth before me warm to the touch of your passing?","Saludos, Elegida. ¿Por qué la tierra ante mí se calienta con el roce de tu paso?"
I'm hurt. Can you heal me?,Estoy herida. ¿Puedes curarme?
"A blessing on you, for you are truly a child of nature. Would you please use your special talents and rid my garden of the plants of dark soul?","Bendito seas, porque en verdad eres una hija de la naturaleza. ¿Podrías por favor usar tus talentos especiales y librar a mi huerto de las plantas de alma impía?"
The plants of dark soul have infested my garden again. Many seasons have touched my bones and I am too frail for that fight which is eternal in nature. I ask that you be my champion.,Las plantas de alma impía han infestado mi huerto de nuevo. Muchas estaciones han sentido mis huesos y ahora soy demasiado frágil para esta lucha de eterna naturaleza. Te pido que seas mi campeona.
Forget it. I'm the future leader of this tribe and it would be undignified for me to do your gardening for you.,Olvídalo. Si voy a ser la futura líder de la tribu sería algo indigno para mí convertirme en tu jardinera.
To ask payment for a gift will bring you less than the gift itself.  I will give you such and add the lesson of your self-disappointment at the receiving.,Pedir un pago por un regalo producirá menos que el regalo mismo. Te daré eso y la lección de tu decepción contigo misma al recibirlo.
"Surely you remember it is to the northeast, foolish one.","Seguramente recuerdes que está al nordeste, necia."
"Are you calling me a fool? I don't think I want to help you, after all. ","¿Me estás llamando necia? Después de todo, no creo que vaya a ayudarte."
"May the gods bless your efforts, Chosen. May your aura grace my presence when the earth breathes clean again.","Que los dioses bendigan tus esfuerzos, Elegida. Que tu aura agracie mi presencia cuando la tierra vuelva a respirar limpia de nuevo."
"You may bear the mantle of the Chosen, but your dark soul cries from within.","Puede que lleves contigo el manto de la Elegida, pero tu alma impía grita desde tu interior."
I'm not worthy. I'll take my leave now.,No soy digna. Me voy de aquí.
"To make one whole instills a sense of fullness that you would be well to understand, Chosen.","Hacerlo infunde una sensación de plenitud que harías bien en entender, Elegida."
"In what way may I touch the chosen soul, Seed of the Dweller?","¿De qué forma puedo tocar el alma de la Elegida, Semilla del Morador?"
"Ah, Chosen, my garden is well- how is yours?","Ah, Elegida, mi huerto está bien. ¿Cómo está el tuyo?"
"Look to the north, Chosen, and the way will be open.","Mira al norte, Elegida, y el camino se abrirá."
I am honored to serve the Chosen.,Me honra servir a la Elegida.
"Welcome, Chosen. Bless us with words that the GECK will be found soon. Our village ails, our need is great, our time, short.","Bienvenida, Elegida. Bendícenos con tus palabras sobre el próximo hallazgo del GECK. Nuestro poblado enferma, nuestra necesidad es grande, nuestro tiempo, escaso."
"Welcome back, Chosen. I see by your face the salvation of the GECK is not yet ours. Be tireless as the ant before our reserves run out. You are our last hope.","Bienvenida, Elegida. Veo por tu rostro que la salvación del GECK aún no es nuestra. Se incansable como la hormiga antes de que se acaben nuestras reservas. Eres nuestra última esperanza."
"Chosen, the sands of time are but a few grains. Please. Bring the GECK soon and make the future of the village like the beach of the ocean. Quickly, before the last grain falls.","Elegida, sólo quedan unos pocos granos de las arenas del tiempo. Por favor. Trae el GECK pronto y haz que el futuro del poblado sea como la playa del océano. Rápido, antes de que caiga el último grano."
"Chosen, the spirits of our ancestors guide me to a world of dreams that I may touch thoughts. Our village suffers without the holy GECK. Your hands hold our lives as a father holds his children.","Elegida, los espíritus de nuestros ancestros me guían a un mundo de sueños donde puedo alcanzar tus pensamientos. Nuestro poblado sufre sin el sagrado GECK. Tus manos sostienen vuestras vidas como un padre a sus hijos."
"Once again my spirit touches you from the void, Chosen. Our crops fail, our reserves are meager. Return to us with the GECK. Your failure is our last light.","Una vez más mi espíritu te alcanza desde el vacío, Elegida. Nuestras cosechas se malogran, nuestras reservas menguan. Vuelve con el GECK. Tu fracaso será nuestro fin."
Chosen. The village weakens. It is harder to touch your dreams. You must hurry or we will all...,Elegida. El poblado se debilita. Es más difícil entrar en tus sueños. Debes apresurarte o todos...
Chosen - the shadow of darkness arrived before you.,Elegida... la sombra de la oscuridad llegó antes que tú.
"Child of Nature, how could we put such a burden on your shoulders? (sigh) Your people have been taken.","Hija de la Naturaleza, ¿cómo pudieron poner semejante carga sobre tus hombros? (suspira) Tu gente ha sido raptada."
Ow.,Ou.
"Yes. Great sadness and pain. I stand between worlds to tell you, Chosen. Save your people.","Sí. Gran tristeza y dolor. Me hallo entre ambos mundos para decírtelo, Elegida. Salva a tu pueblo."
All were dead or taken. My spirit returned to flesh only to reveal the truth to the Chosen.,Todos fueron muertos o capturados. Mi espíritu volvió a la carne sólo para revelar la verdad a la Elegida.
"For me, nothing. Chosen, you must seek the fold of the dark ones and rescue our people.","Por mí, nada. Elegida, debes buscar el redil de los oscuros y rescatar a nuestra gente."
You are the Chosen. You must do.,Eres la Elegida. Debes hacerlo.
"Too many seasons and too many wounds, Chosen. Instead, you must listen.","Demasiadas estaciones y demasiadas heridas, Elegida. En vez de eso, debes escuchar."
"Sorry, stranger. I don't have time to chat with you.","Lo siento, forastera. Ahora no tengo tiempo para hablar contigo."
"Yeah, he's got a dog. Personally, I think it's the meanest, most vile creature on the face of
 the earth. It seems to love Darion, though, so I guess it can't be all that bad.","Sí, tiene un perro. Personalmente, creo que es la criatura más vil y malvada sobre la faz de la tierra. Pero parece amar a Darion, así que supongo que no puede ser tan mala."
I'll not help someone like you. Go away.,No ayudaré a alguien como tú. Vete.
Are you nuts to walk around here out of uniform? Get suited up!,"¿Estás tonta, andando por aquí sin uniforme? ¡Ve a vestirte!"
Me new here. Need ask question.,Yo nueva aquí. Necesito respuesta.
"Are you nuts, walking around here out of uniform? Get suited up!","¿Estás tonta, andando por aquí sin uniforme? ¡Vístete!"
"Howdy, stranger. Whoa baby! Check out that set of wheels. Ain't seen one
 of those in years. What can old Chris do for you?","Hola, forastera. ¡Caramba! Mira ese coche. No había visto uno de estos desde hace años. ¿Qué puede hacer el viejo Chris por ti?"
"Howdy, stranger. Ain't seen you around these parts before. What can old
 Chris do for you?","Hola, forastera. No te había visto nunca por aquí. ¿Qué puede hacer el viejo Chris por ti?"
(speaking into radio) Alert! We got an intruder at the station! Alert!,(hablando por la radio) ¡Alerta! ¡Tenemos a una intrusa en la estación! ¡Alerta!
"Wait a minute, dummy. Are you trying to say you're one of the Enclave
 replacements? If that's the case, then why aren't you alone?","Espera un momento, tontina. ¿Estás intentando decirme que eres uno de los reemplazos del Enclave? Si es así, ¿por qué no estás sola?"
"Wait a minute. Are you trying to say you're one of the Enclave
 replacements? If that's the case, then why aren't you alone?","Espera un momento, tontina. ¿Estás intentando decirme que eres uno de los reemplazos del Enclave? Si es así, ¿por qué no estás sola?"
Intruder at the station! Send help!,¡Intrusa en la estación! ¡Ayuda!
Intruder alert! Intruder alert!,¡Alerta de intruso! ¡Alerta de intruso!
"Die, outsider!","Muere, ¡forastera!"
Sir! What is your business here?,¡Señora! ¿Qué hace aquí?
"What is the nature of your business, sir?","¿Cuál es la naturaleza de dichos asuntos, señora?"
"Sir, this is your final warning. I have to ask you to leave this area.","Señora, este es el último aviso. Tengo que pedir que abandone esta zona."
"(speaking to self) Commander. Cleaning detail is here, sir. (pause) Yes, sir. (looking at you) Go on in.","(hablando para sí mismo) Comandante. La de la limpieza está aquí, señor. (pausa) Sí, señor. (mirándote) Entra."
You see a guard wearing power armor of an unusual design. There is an insignia on the breastplate that you are unfamiliar with.,Ves a un hombre que lleva puesta una servoarmadura de un diseño inusual. Lleva una insignia en el peto con la que no estás familiarizada.
"What was that? Did you forget something, maggot?","¿Qué ha sido eso? No te has olvidado de algo, ¿gusanaza?"
"Wrong answer, maggot. You are to carry your papers with you at all times and you should know that!","Respuesta equivocada, gusanaza. ¡Debes llevar tus papeles contigo en todo momento y deberías saberlo!"
Where the hell is that screw-up private?!,¿Dónde está esa soldado patosa?
Me new. Me told you expect.,Yo nueva. Digo que que vosotros esperáis a yo.
"Nobody gets... Damn. (slowly) Need pass get inside. You no got pass. You go away. You no go away, you get hurt. Understand?","Nadie entra... Maldición. (lentamente) Necesitas pase para entrar. Tú no pase. Tú te marchas. Tú no te marchas, y tú eres herida. ¿Entiendes?"
Who the--? <zzzt> We got an intruder here!,¿Pero quién--? <zzzt> ¡Tenemos una intrusa aquí!
Intruder on base!,¡Intrusa en la base!
The life functions of my master have terminated. Are you my new master?,Las funciones vitales de mi amo han terminado. ¿Eres tú mi nueva ama?
"(sigh) Pay attention. Concentrate. Look me in the eyes. Now, are you ready?","(suspira) Presta atención. Concéntrate. Mírame a los ojos. Ahora, ¿estás preparada?"
Ready what?,¿Preparada qué?
Yes. Me ready.,Sí. Yo preparada.
"Oh, a joke. Hardy har har har. Now, are you my new master or not?","Oh, una broma. Ja Ja Ja. Ahora, ¿eres mi nueva ama o no?"
"I am not sure, master. I would try maintenance. It is upstairs in the
 northeast corner of the base.","No estoy seguro, ama. Yo probaría en Mantenimiento. Está arriba, en la esquina nordeste de la base."
"Hello again. The life functions of my master have terminated. Are
 you my new master?",Las funciones vitales de mi amo han terminado. ¿Eres tú mi nueva ama?
Hello master. Have you found my motivation unit?,Hola ama. ¿Has encontrado mi unidad motriz?
"I will wait here for your return, master.","Esperaré a tu regreso, ama."
"Then please install the part, master! Please, master!","Entonces, ¡por favor instala la pieza, ama! ¡Por favor, ama!"
"That is not where that goes, master. Are you sure you know what you
 are doing?","Ahí no va, ama. ¿Estás segura de que sabes lo que estás haciendo?"
Go away. I do not want you for a master.,Vete. No quiero una ama como tú.
"Yes, master?","¿Sí, ama?"
"All systems are functioning at full capacity, master.","Todos los sistemas funcionando a capacidad total, ama."
"My systems are functioning at near full capacity, master.","Mis sistemas funcionan a capacidad casi total, ama."
"I have performed what repairs I can, master, but I will require
 further assistance.","He realizado las reparaciones que he podido, ama, pero requeriré asistencia a fondo."
"I have performed what repairs I can, master, but system failure
 is imminent without assistance.","He realizado las reparaciones que he podido, ama, pero un fallo de sistemas es inminente sin asistencia."
"Retracting weapon, master.","Retirando armas, ama."
"Narrowing distance between us, master.","Disminuyendo distancia entre nosotros, ama."
"Increasing distance between us, master.","Incrementando distancia entre nosotros, ama."
"Increasing distance to maximum, master.","Incrementando distancia al máximo, ama."
"I am sorry, master, but there does not appear to be room for me in
 your party. I will wait here until a position opens.","Lo siento, ama, pero no parece haber espacio para mí en tu equipo. Esperaré aquí hasta que haya un puesto libre."
"As you command, master.","Como quieras, ama."
"I have performed what repairs I can master, but I will require
 further assistance.","He realizado las reparaciones que he podido, ama, pero requeriré asistencia a fondo."
"I have performed what repairs I can master, but system failure
 is imminent without assistance.","He realizado las reparaciones que he podido, ama, pero un fallo de sistemas es inminente sin asistencia."
"I have no desire to remove my fur, master.","No deseo retirar mi pelo, ama."
"Teeth, master. The shiny white things installed in my mouth.","Dientes, ama. Los brillantes y blancos dientes instalados en mi boca."
You are a cretin. I will not go anywhere with you. Go away.,Eres una cretina. No iré a ninguna parte contigo. Vete.
You the guy Arch radioed about?,¿Tu eres la persona sobre la que Arch me ha hablado por radio?
"(What, are you deaf? I said I got a suit; just sign here.)","(¿Qué, estás sorda? Te he dicho que tengo un traje; tan sólo firma aquí)."
I got better.,"Eh... sí, estoy unida"
"What are you, deaf? Are you the guy or not?","¿Qué eres, sorda? ¿Eres ella o no?"
You deaf? Who are you?,¿Estás sorda? ¿Quién eres?
"You're a bit on the slow side, aren't you? (sigh) Well, that's
 not your fault. I have a brother just like you. Anyway, are you new here?
 I don't recall seeing you before.","Eres un poco lenta, ¿no? (suspiro) Bueno, eso no es culpa tuya. Tengo un hermano igual que tú. De todas maneras, ¿eres nueva aquí? No recuerdo haberte visto antes."
Are you new here? I don't recall seeing you before.,¿Eres nueva aquí? No recuerdo haberte visto antes.
Yes! Me new here!,¡Sí! ¡Yo nueva aquí!
"Yes, I'm new here.","Sí, soy nueva aquí."
"You're one round short of a full clip, aren't you? Well, they call you
 grunts for a reason. Look, Einstein, I can't give you the plans without
 authorization, okay? So, go back to whoever sent you here and get the proper
 paperwork.","Eres un poco corta, ¿no? Bueno, os llaman carne de cañón por algo. Mira, Einstein, no puedo darte los planos sin una autorización, ¿vale? Así que vuelve a donde quiera que te hayan enviado y trae los papeles necesarios."
Are you nuts? Walking around here out of uniform? Get suited up!,¿Estás loca? ¿Andando por aquí sin el uniforme? ¡Ve a vestirte ahora mismo!
"Sorry, man, but I don't have time to chit-chat, you know? I got to get
 this bird working.","Lo siento, amiga, pero no tengo tiempo para charlar, ¿sabes? Debo hacer que este pájaro vuele."
